"","Time.Range","Vessel.ID","Flag","Vessel.Name","Entry.Timestamp","Exit.Timestamp","Gear.Type","Vessel.Type","MMSI","IMO","CallSign","First.Transmission.Date","Last.Transmission.Date","Apparent.Fishing.Hours","month","quarter","id"
"1","2021-02","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II","2021-01-04 04:00:00","2021-03-29 09:00:00","TRAWLERS","FISHING","247091080",NA,"IFMX","2013-08-23 15:20:47","2021-04-17 11:54:57",1.02,2,1,"12G2"
"2","2021-01","48618b95b-bf82-cb38-6fd1-a72d11c618ae","ITA","STELLA MADRE","2021-01-07 05:00:00","2021-09-02 12:00:00","TRAWLERS","FISHING","247096450",NA,"IJJL","2016-03-21 01:16:47","2021-09-09 06:25:08",41.74,1,1,"11G2"
"3","2021-01","bdcd2d618-8e87-b9fc-959d-584c17ae45e5","ITA","JAMAICA","2021-01-04 04:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247092810",NA,"IPVT","2013-05-27 23:17:31","2025-05-19 23:59:47",6,1,1,"12G1"
"4","2021-02","b2a081b87-7dc2-5afe-e7ac-6f5cd261d9da","ITA","MONELLO","2021-01-05 07:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247044970",NA,"IWJJ","2014-07-30 06:52:49","2025-05-16 14:54:32",20.25,2,1,"17F9"
"5","2021-02","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU","2021-01-04 02:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065080",NA,NA,"2013-06-24 00:40:18","2024-08-16 10:02:30",28.25,2,1,"14G0"
"6","2021-01","898bfd541-1611-3e35-93d7-e1bfbe13d026","ITA","MP NUOVA LUCIA","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247892860",NA,"IIJN","2019-12-13 15:03:32","2025-05-19 23:59:25",29.6,1,1,"12G2"
"7","2021-01","a5084903d-de65-a30f-5864-e30b5cd3872a","ITA","CESARINA","2021-01-06 23:00:00","2021-12-29 12:00:00","TRAWLERS","FISHING","247220290",NA,"ILKN","2014-05-14 03:57:27","2025-05-19 23:58:28",4.17,1,1,"14G0"
"8","2021-02","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA","2021-01-04 01:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065740",NA,"IVHU","2014-05-05 22:42:01","2025-05-19 13:06:56",1.87,2,1,"14G0"
"9","2021-01","2de3cda92-2405-3349-8ad5-0ef180e81e1a","ITA","LIBERA","2021-01-04 04:00:00","2021-12-29 15:00:00","TRAWLERS","FISHING","247096930",NA,"IRMM","2013-02-18 02:16:45","2025-05-19 23:58:29",7.53,1,1,"12G2"
"10","2021-02","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-05-19 16:45:04",13.25,2,1,"13G0"
"11","2021-02","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE","2021-01-04 05:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247045180",NA,"IKDO","2014-05-29 04:02:34","2025-05-16 14:00:21",20.23,2,1,"17F9"
"12","2021-01","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA","2021-01-04 01:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065740",NA,"IVHU","2014-05-05 22:42:01","2025-05-19 13:06:56",43.74,1,1,"14G0"
"13","2021-02","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE","2021-01-04 06:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247123920",NA,"IPFT","2019-08-07 07:56:24","2025-05-02 11:17:54",12.43,2,1,"12G2"
"14","2021-01","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU","2021-01-04 02:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065080",NA,NA,"2013-06-24 00:40:18","2024-08-16 10:02:30",0.82,1,1,"14G0"
