"","port","vessel_name","MMSI","quarter","lat","lon"
"1","ANZIO","ANGELO PADRE II","247091080","1",41.4453390569942,12.6379987763435
"2","ANZIO","ARCOBALENO","247096440","2",41.44604774812,12.6400850552833
"3","ANZIO","GIANNA","247096470","1",41.44604774812,12.6400850552833
"4","ANZIO","IMPAVIDO I`","247088050","1",41.44604774812,12.6400850552833
"5","ANZIO","LUEMA","247081850","1",41.44604774812,12.6400850552833
"6","ANZIO","LUNA ROSSA 1","247067010","1",41.44604774812,12.6400850552833
"7","ANZIO","MARE AZZURRO","247092870","1",41.44604774812,12.6400850552833
"8","ANZIO","N.PESCE VOLANTE","247091090","1",41.44604774812,12.6400850552833
"9","ANZIO","PAOLA MADRE","247090910","1",41.44604774812,12.6400850552833
"10","ANZIO","RAIMONDO SFERLAZZO","247250620","1",41.4461188551632,12.6415286591739
"11","ANZIO","RINASCITA","247090950","2",41.44604774812,12.6400850552833
"12","ANZIO","SAVERIO_P","247080330","1",41.44604774812,12.6400850552833
"13","ANZIO","STELLA MADRE","247096450","1",41.44604774812,12.6400850552833
"14","ANZIO","STELLA ROSSA","247090850","1",41.44604774812,12.6400850552833
"15","CALA GALERA","ANGELA MADRE","247068110","2",42.3933333814012,11.2158824440124
"16","CALA GALERA","FRECCIA","247068070","3",42.3933333814012,11.2158824440124
"17","CALA GALERA","GIANNI RIVERA","247066180","2",42.4008018709302,11.2090378396429
"18","CALA GALERA","LEONE MARCO","247099830","1",42.4008018709302,11.2090378396429
"19","CALA GALERA","MARETTO","247066290","2",42.3933333814012,11.2158824440124
"20","CALA GALERA","MP LEDO","247222320","2",42.3933333814012,11.2158824440124
"21","CALA GALERA","PRIMO","247042630","3",42.3933333814012,11.2158824440124
"22","CALA GALERA","TOMMASO DE SIMONE","247110830","1",42.3933333814012,11.2158824440124
"23","CAMOGLI","ARINA MADRE","247045120","3",44.3463009013314,9.14828300326812
"24","CAMOGLI","JAZZ","247200190","1",44.3463009013314,9.14828300326812
"25","CHIAVARI","ARDITO","247044930","1",44.3122323205943,9.31963210442198
"26","CHIAVARI","JAZZ","247200190","1",44.3122323205943,9.31963210442198
"27","CIVITAVECCHIA","CRESCENZO 1","247128190","1",42.0923931203533,11.7591792234305
"28","CIVITAVECCHIA","DESTRIERO I","247122360","1",42.0870058501233,11.7560300541042
"29","CIVITAVECCHIA","FORTUNATA","247099810","1",42.0923931203533,11.7591792234305
"30","CIVITAVECCHIA","LA FENICE","247099820","1",42.0871842441641,11.7617138502873
"31","CIVITAVECCHIA","LEONE MARCO","247099830","1",42.0890653752972,11.7641062067629
"32","CIVITAVECCHIA","LIDA ASSUNTA","247094280","1",42.0890653752972,11.7641062067629
"33","CIVITAVECCHIA","M/P SS. TRINITA","247094260","1",42.0787879676793,11.7500577021525
"34","CIVITAVECCHIA","MARIA ROSA","247111950","2",42.0870058501233,11.7560300541042
"35","CIVITAVECCHIA","OSCAR","247094340","2",42.089848791217,11.7689165644743
"36","CIVITAVECCHIA","S. FERMINA","247094310","2",42.0886210428993,11.7631215797976
"37","CIVITAVECCHIA","SS ANNUNZIATA","247099790","2",42.0929632864464,11.7650103116922
"38","CIVITAVECCHIA","TOMMASO DE SIMONE","247110830","1",42.0929632864464,11.7650103116922
"39","CIVITAVECCHIA","VINCENZO PADRE","247094330","1",42.0929632864464,11.7650103116922
"40","FIUMICINO","AGOSTINO IMPERATO","247092790","1",41.7711940938328,12.2237002956995
"41","FIUMICINO","ANTONIO FRANCESCA M.","247093030","1",41.7601252429848,12.2282219075694
"42","FIUMICINO","BISMARK","247092770","1",41.7601252429848,12.2282219075694
"43","FIUMICINO","GIACOMO","247093040","1",41.7711940938328,12.2237002956995
"44","FIUMICINO","IMPERO ROMANO","247094320","2",41.7711940938328,12.2237002956995
"45","FIUMICINO","JAMAICA","247092810","1",41.7546423514836,12.2304191277109
"46","FIUMICINO","L ALBA","247119090","1",41.771297903227,12.2211568068975
"47","FIUMICINO","M/P SS. TRINITA","247094260","1",41.7715047804669,12.2184861465085
"48","FIUMICINO","MARIA","247093060","1",41.771297903227,12.2211568068975
"49","FIUMICINO","MARIAMADRE","247092830","1",41.7601252429848,12.2282219075694
"50","FIUMICINO","MARIANNA","247093010","1",41.7711940938328,12.2237002956995
"51","FIUMICINO","MP CLAUDIO PADRE","247123920","1",41.7546423514836,12.2304191277109
"52","FIUMICINO","MP FRANCESCO PADRE","247099360","1",41.7715047804669,12.2184861465085
"53","FIUMICINO","MP NUOVA LUCIA","247892860","1",41.7715047804669,12.2184861465085
"54","FIUMICINO","M\P S. PIETRO I","247149790","4",41.7712456277557,12.2236367099061
"55","FIUMICINO","NONNO CIRO","247092850","1",41.7461510869944,12.2382817035623
"56","FIUMICINO","S.VINCENZO","247092920","1",41.771297903227,12.2211568068975
"57","FIUMICINO","SAN.PIETRO I","247149790","1",41.771297903227,12.2211568068975
"58","GENOA","ARDITO","247044930","1",44.3581810609495,9.04919960233327
"59","GENOA","JAZZ","247200190","1",44.3764611196628,8.96792842168776
"60","GIGLIO PORTO","FURORE","247101230","2",42.3448331102186,10.9268146233272
"61","ITA-110","CESARINA","247220290","1",42.8159292743678,10.4310569191478
"62","ITA-110","MISS MARY","247066930","3",42.8159292743678,10.4310569191478
"63","ITA-115","FRANCESCO GIACALONE","247147190","4",42.8213236024665,10.2685620858904
"64","ITA-115","LIBERA","247096930","2",42.8213236024665,10.2685620858904
"65","ITA-115","NUOVA MAREA","247220130","1",42.8213236024665,10.2685620858904
"66","ITA-167","NUOVA MAREA","247220130","1",42.8644198817061,10.424691532509
"67","ITA-206","M/P SS. TRINITA","247094260","1",42.061387761415,11.8126176239045
"68","ITA-206","MP NUOVA LUCIA","247892860","1",42.061387761415,11.8126176239045
"69","ITA-273","BACICIN V","247049280","2",44.3992996740959,8.68794462364634
"70","ITA-273","P.D`ERCOLE","247204460","1",44.3992996740959,8.68794462364634
"71","ITA-297","ANGELA MADRE","247068110","2",42.3720501130125,11.192584570431
"72","ITA-297","FRECCIA","247068070","3",42.3720501130125,11.192584570431
"73","ITA-297","FRIDA","247065690","2",42.3720501130125,11.192584570431
"74","ITA-297","MARETTO","247066290","2",42.3720501130125,11.192584570431
"75","ITA-297","MP LEDO","247222320","2",42.3720501130125,11.192584570431
"76","ITA-297","NETTUNO II","247065720","1",42.3720501130125,11.192584570431
"77","ITA-297","PRIMO","247042630","3",42.3720501130125,11.192584570431
"78","ITA-338","LUNA ROSSA 1","247067010","1",41.561373549233,12.484200292491
"79","ITA-338","N.PESCE VOLANTE","247091090","1",41.561373549233,12.484200292491
"80","ITA-338","PAOLA MADRE","247090910","1",41.561373549233,12.484200292491
"81","ITA-368","M/P SS. TRINITA","247094260","1",42.1237890222318,11.75556116728
"82","LAVAGNA","JAZZ","247200190","1",44.3071611275445,9.33698935031076
"83","LIVORNO","ANASTASIA","247066860","2",43.5694182135006,10.2986945491129
"84","LIVORNO","LUNA ROSSA 1","247067010","1",43.5472424816845,10.2994130986306
"85","LIVORNO","MISS MARY","247066930","3",43.5715785590853,10.3005412852891
"86","LIVORNO","MORLE II","247081680","2",43.5694182135006,10.2986945491129
"87","MARCIANA MARINA","NUOVA MAREA","247220130","1",42.8088069315964,10.1970174333997
"88","MARINA DI SALIVOLI","CESARINA","247220290","1",42.9307276189194,10.5072973764337
"89","MARINA DI SALIVOLI","MONSSER","247044790","2",42.9307276189194,10.5072973764337
"90","MARINA DI SALIVOLI","NUOVA MAREA","247220130","1",42.9307276189194,10.5072973764337
"91","PIOMBINO","CESARINA","247220290","1",42.9216049024911,10.5571806601608
"92","PIOMBINO","MONSSER","247044790","2",42.9240898243637,10.5578415973341
"93","PIOMBINO","NUOVA MAREA","247220130","1",42.9303095123106,10.5465741391089
"94","PORTO AZZURRO","NETTUNO II","247065720","1",42.7701816039627,10.4197362633593
"95","PORTO AZZURRO","NUOVA MAREA","247220130","1",42.7701816039627,10.4197362633593
"96","PORTO FERRAIO","FRANCESCO GIACALONE","247147190","4",42.811955406016,10.3348515545555
"97","PORTO FERRAIO","LIBERA","247096930","2",42.8130861496699,10.3327515896564
"98","PORTO FERRAIO","MICHELE GIACALONE","247149010","4",42.8142168933239,10.3306516247573
"99","PORTO FERRAIO","NUOVA MAREA","247220130","1",42.8110538875927,10.3368200962349
"100","PORTO FERRAIO","NUOVO GIACOMO PRIMO","247144430","4",42.8142168933239,10.3306516247573
"101","PORTO FERRAIO","SICULAPESCA","247146950","4",42.8142168933239,10.3306516247573
"102","PORTO FERRAIO","VALENTINO GIACALONE","247145030","2",42.8142168933239,10.3306516247573
"103","PORTO SANTO STEFANO","CERNIA","247303790","2",42.4415069723724,11.122292318463
"104","PORTO SANTO STEFANO","FRIDA","247065690","2",42.4407625704335,11.1199386554583
"105","PORTO SANTO STEFANO","FURORE","247101230","2",42.4413439033857,11.1209170159957
"106","PORTO SANTO STEFANO","GIANNI RIVERA","247066180","2",42.4415091177828,11.12056731091
"107","PORTO SANTO STEFANO","GIORGIA","247066190","1",42.441384544359,11.1203513124943
"108","PORTO SANTO STEFANO","GIUBILEO","247300170","2",42.4415640693576,11.1188896280981
"109","PORTO SANTO STEFANO","ISABELLA","247065440","1",42.4415640693576,11.1188896280981
"110","PORTO SANTO STEFANO","LIBERA","247096930","2",42.4404107191991,11.1201311966812
"111","PORTO SANTO STEFANO","MIRELLA","247065730","1",42.4415416305614,11.1201147481088
"112","PORTO SANTO STEFANO","NETTUNO II","247065720","1",42.4404107191991,11.1201311966812
"113","PORTO SANTO STEFANO","ONDAMARINA","247041470","1",42.4415098813933,11.1196438994333
"114","PORTO SANTO STEFANO","OSCAR","247094340","2",42.4369506687233,11.1238559024303
"115","PORTO SANTO STEFANO","SABRINA E GIADA","247147420","1",42.4407764702551,11.1207382738291
"116","PORTO SANTO STEFANO","STELLA MARIS","247152290","1",42.4413439033857,11.1209170159957
"117","PORTOFINO","ARDITO","247044930","1",44.3084616629998,9.22621550250844
"118","PORTOFINO","ARINA MADRE","247045120","3",44.3100444943404,9.22236960006283
"119","PORTOFINO","IRENE","247123990","2",44.3090506626157,9.21576231662993
"120","PORTOFINO","JAZZ","247200190","1",44.2979374114042,9.21573489725824
"121","PORTOFINO","MONELLO","247044970","2",44.3078180363125,9.22432358379844
"122","PORTOFINO","N.VITTORIO-FILIPPO","247044920","1",44.3070438528847,9.22232379780872
"123","PORTOFINO","TERESA MADRE","247041670","1",44.3090689364071,9.22446741509017
"124","PORTOVENERE","NUOVO SPLENDORE II","247150210","2",44.0515781459958,9.8372502985959
"125","PORTOVENERE","ONDAMARINA","247041470","1",44.0626102790954,9.84740264696764
"126","SAN LORENZO AL MARE","M/P MINA","247048870","1",43.8582877433308,7.96931702452831
"127","SANREMO","F/V GRAZIA ROSA II","247048990","2",43.814428722456,7.79005286344092
"128","SANREMO","F/V PATRIZIA","247042850","2",43.814428722456,7.79005286344092
"129","SANREMO","M/P MINA","247048870","1",43.814428722456,7.79005286344092
"130","SANTA MARINELLA","IMPERO ROMANO","247094320","2",42.0351410760321,11.8744507210639
"131","SANTA MARINELLA","MP NUOVA LUCIA","247892860","1",42.0350203857578,11.876874945071
"132","SANTO STEFANO","M/P MINA","247048870","1",43.8370724305794,7.91036965301162
"133","SAVONA","BACICIN V","247049280","2",44.2989368850423,8.50346815233461
"134","SAVONA","P.D`ERCOLE","247204460","1",44.2989368850423,8.50346815233461
"135","SESTRI LEVANTE","ANNA M","247103220","2",44.2691303888065,9.38340493099275
"136","SESTRI LEVANTE","ARDITO","247044930","1",44.2691303888065,9.38340493099275
"137","SESTRI LEVANTE","ILCORSARO","247103220","2",44.2714163135697,9.38485098555723
"138","SESTRI LEVANTE","ILCORSARO","247103220","3",44.2714163135697,9.38485098555723
"139","SESTRI LEVANTE","JAZZ","247200190","1",44.2714163135697,9.38485098555723
"140","SESTRI LEVANTE","SGIUSEPPE","247045180","2",44.2714163135697,9.38485098555723
"141","SESTRI LEVANTE","TERESA MADRE","247041670","1",44.2691303888065,9.38340493099275
"142","VARAZZE","BACICIN V","247049280","2",44.3505604372733,8.5684005599877
"143","VARAZZE","P.D`ERCOLE","247204460","1",44.3516878657204,8.56839533980923
"144","VIAREGGIO","ANASTASIA","247066860","2",43.8620892892973,10.2361112480486
"145","VIAREGGIO","CARMELA FIGLIA","247063630","1",43.8591175667869,10.2382039206973
"146","VIAREGGIO","MORLE II","247081680","2",43.8561458442765,10.2402965933461
