"vessel_name","MMSI","quarter","Place.of.registration.name","vlength","port","X","Y"
"ANGELO PADRE II",247091080,1,NA,NA,"ANZIO",12.6333007810001,41.447875977
"ARCOBALENO",247096440,2,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"GIANNA",247096470,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"IMPAVIDO I`",247088050,1,NA,NA,"ANZIO",12.6333007810001,41.447875977
"LUEMA",247081850,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"LUNA ROSSA 1",247067010,1,NA,NA,"ANZIO",12.6333007810001,41.447875977
"MARE AZZURRO",247092870,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"N.PESCE VOLANTE",247091090,1,NA,NA,"ANZIO",12.6333007810001,41.447875977
"PAOLA MADRE",247090910,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"RAIMONDO SFERLAZZO",247250620,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"RINASCITA",247090950,2,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"SAVERIO_P",247080330,1,NA,NA,"ANZIO",12.6333007810001,41.447875977
"STELLA MADRE",247096450,1,"Termoli","VL2440","ANZIO",12.6333007810001,41.447875977
"STELLA ROSSA",247090850,1,"Anzio","VL1824","ANZIO",12.6333007810001,41.447875977
"ANGELA MADRE",247068110,2,"Porto Ercole","VL1824","PORTO ERCOLE",11.2047666829999,42.3896836450002
"FRECCIA",247068070,3,"Porto Ercole","VL1824","PORTO ERCOLE",11.2047666829999,42.3896836450002
"GIANNI RIVERA",247066180,2,"Porto Santo Stefano","VL2440","PORTO SANTO STEFANO",11.125305176,42.436096191
"LEONE MARCO",247099830,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"MARETTO",247066290,2,"Porto Ercole","VL1824","PORTO ERCOLE",11.2047666829999,42.3896836450002
"MP LEDO",247222320,2,NA,NA,"PORTO ERCOLE",11.2047666829999,42.3896836450002
"PRIMO",247042630,3,"Porto Ercole","VL1218","PORTO ERCOLE",11.2047666829999,42.3896836450002
"TOMMASO DE SIMONE",247110830,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"ARINA MADRE",247045120,3,"Genova","VL1218","PORTOFINO",9.21051025400016,44.3024902340001
"JAZZ",247200190,1,"Sestri Levante","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"ARDITO",247044930,1,"Santa Margherita Ligure","VL1824","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ",247200190,1,"Sestri Levante","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"CRESCENZO 1",247128190,1,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"DESTRIERO I",247122360,1,"Licata","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"FORTUNATA",247099810,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LA FENICE",247099820,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LEONE MARCO",247099830,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LIDA ASSUNTA",247094280,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"M/P SS. TRINITA",247094260,1,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"MARIA ROSA",247111950,2,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"OSCAR",247094340,2,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"S. FERMINA",247094310,2,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"SS ANNUNZIATA",247099790,2,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"TOMMASO DE SIMONE",247110830,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"VINCENZO PADRE",247094330,1,"Civitavecchia","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
