"","id","year","quarter","FDI_tot_fish_day","Flag","MMSI","Vessel.Name","GFW_Fish_hours","vlength"
"1","03E8",2021,1,372,"ESP","224020390","SOTO DURAN",2.54,NA
"2","03E8",2021,1,372,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"3","03E8",2021,1,372,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"4","03E8",2021,1,372,"ESP","224026780","PESCALBA DOS",16.87,NA
"5","03E8",2021,1,372,"ESP","224046150","GINES Y ANA",11.66,NA
"6","03E8",2021,1,372,"ESP","224054950","PERETUJO",19.21,NA
"7","03E8",2021,1,372,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"8","03E8",2021,1,372,"ESP","224071980","EL VILLA",2.42,"VL1824"
"9","03E8",2021,1,372,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"10","03E8",2021,1,372,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"11","03E8",2021,1,372,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"12","03E8",2021,1,372,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"13","03E8",2021,1,372,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"14","03E8",2021,1,372,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"15","03E8",2021,1,372,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"16","03E8",2021,1,372,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"17","03E8",2021,1,372,"ESP","224151990","LORENZO Y FINA",1.83,NA
"18","03E8",2021,1,372,"ESP","224155590","LOS ALONSOS",4.58,NA
"19","03E8",2021,1,372,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"20","03E8",2021,1,372,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"21","03E8",2021,1,372,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"22","03E8",2021,1,372,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"23","03E8",2021,1,372,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"24","03E8",2021,1,372,"ESP","224217120","TOPACIO",0.79,"VL1824"
"25","03E8",2021,1,372,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"26","03E8",2021,1,372,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"27","03E8",2021,1,372,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"28","03E8",2021,1,372,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"29","03E8",2021,1,372,"ESP","224333460","EL CAENA",9.14,NA
"30","03E8",2021,1,372,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"31","03E8",2021,1,372,"ESP","225983852","ALVALUC II",5.83,NA
"32","03E8",2021,1,1922,"ESP","224020390","SOTO DURAN",2.54,NA
"33","03E8",2021,1,1922,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"34","03E8",2021,1,1922,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"35","03E8",2021,1,1922,"ESP","224026780","PESCALBA DOS",16.87,NA
"36","03E8",2021,1,1922,"ESP","224046150","GINES Y ANA",11.66,NA
"37","03E8",2021,1,1922,"ESP","224054950","PERETUJO",19.21,NA
"38","03E8",2021,1,1922,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"39","03E8",2021,1,1922,"ESP","224071980","EL VILLA",2.42,"VL1824"
"40","03E8",2021,1,1922,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"41","03E8",2021,1,1922,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"42","03E8",2021,1,1922,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"43","03E8",2021,1,1922,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"44","03E8",2021,1,1922,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"45","03E8",2021,1,1922,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"46","03E8",2021,1,1922,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"47","03E8",2021,1,1922,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"48","03E8",2021,1,1922,"ESP","224151990","LORENZO Y FINA",1.83,NA
"49","03E8",2021,1,1922,"ESP","224155590","LOS ALONSOS",4.58,NA
"50","03E8",2021,1,1922,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"51","03E8",2021,1,1922,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"52","03E8",2021,1,1922,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"53","03E8",2021,1,1922,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"54","03E8",2021,1,1922,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"55","03E8",2021,1,1922,"ESP","224217120","TOPACIO",0.79,"VL1824"
"56","03E8",2021,1,1922,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"57","03E8",2021,1,1922,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"58","03E8",2021,1,1922,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"59","03E8",2021,1,1922,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"60","03E8",2021,1,1922,"ESP","224333460","EL CAENA",9.14,NA
"61","03E8",2021,1,1922,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"62","03E8",2021,1,1922,"ESP","225983852","ALVALUC II",5.83,NA
"63","03E8",2021,2,1147,"ESP","224020390","SOTO DURAN",2.54,NA
"64","03E8",2021,2,1147,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"65","03E8",2021,2,1147,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"66","03E8",2021,2,1147,"ESP","224026780","PESCALBA DOS",16.87,NA
"67","03E8",2021,2,1147,"ESP","224046150","GINES Y ANA",11.66,NA
"68","03E8",2021,2,1147,"ESP","224054950","PERETUJO",19.21,NA
"69","03E8",2021,2,1147,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"70","03E8",2021,2,1147,"ESP","224071980","EL VILLA",2.42,"VL1824"
"71","03E8",2021,2,1147,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"72","03E8",2021,2,1147,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"73","03E8",2021,2,1147,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"74","03E8",2021,2,1147,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"75","03E8",2021,2,1147,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"76","03E8",2021,2,1147,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"77","03E8",2021,2,1147,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"78","03E8",2021,2,1147,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"79","03E8",2021,2,1147,"ESP","224151990","LORENZO Y FINA",1.83,NA
"80","03E8",2021,2,1147,"ESP","224155590","LOS ALONSOS",4.58,NA
"81","03E8",2021,2,1147,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"82","03E8",2021,2,1147,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"83","03E8",2021,2,1147,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"84","03E8",2021,2,1147,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"85","03E8",2021,2,1147,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"86","03E8",2021,2,1147,"ESP","224217120","TOPACIO",0.79,"VL1824"
"87","03E8",2021,2,1147,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"88","03E8",2021,2,1147,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"89","03E8",2021,2,1147,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"90","03E8",2021,2,1147,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"91","03E8",2021,2,1147,"ESP","224333460","EL CAENA",9.14,NA
"92","03E8",2021,2,1147,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"93","03E8",2021,2,1147,"ESP","225983852","ALVALUC II",5.83,NA
"94","03E8",2021,2,1953,"ESP","224020390","SOTO DURAN",2.54,NA
"95","03E8",2021,2,1953,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"96","03E8",2021,2,1953,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"97","03E8",2021,2,1953,"ESP","224026780","PESCALBA DOS",16.87,NA
"98","03E8",2021,2,1953,"ESP","224046150","GINES Y ANA",11.66,NA
"99","03E8",2021,2,1953,"ESP","224054950","PERETUJO",19.21,NA
"100","03E8",2021,2,1953,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"101","03E8",2021,2,1953,"ESP","224071980","EL VILLA",2.42,"VL1824"
"102","03E8",2021,2,1953,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"103","03E8",2021,2,1953,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"104","03E8",2021,2,1953,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"105","03E8",2021,2,1953,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"106","03E8",2021,2,1953,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"107","03E8",2021,2,1953,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"108","03E8",2021,2,1953,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"109","03E8",2021,2,1953,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"110","03E8",2021,2,1953,"ESP","224151990","LORENZO Y FINA",1.83,NA
"111","03E8",2021,2,1953,"ESP","224155590","LOS ALONSOS",4.58,NA
"112","03E8",2021,2,1953,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"113","03E8",2021,2,1953,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"114","03E8",2021,2,1953,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"115","03E8",2021,2,1953,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"116","03E8",2021,2,1953,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"117","03E8",2021,2,1953,"ESP","224217120","TOPACIO",0.79,"VL1824"
"118","03E8",2021,2,1953,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"119","03E8",2021,2,1953,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"120","03E8",2021,2,1953,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"121","03E8",2021,2,1953,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"122","03E8",2021,2,1953,"ESP","224333460","EL CAENA",9.14,NA
"123","03E8",2021,2,1953,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"124","03E8",2021,2,1953,"ESP","225983852","ALVALUC II",5.83,NA
"125","03E8",2021,3,31,"ESP","224020390","SOTO DURAN",2.54,NA
"126","03E8",2021,3,31,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"127","03E8",2021,3,31,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"128","03E8",2021,3,31,"ESP","224026780","PESCALBA DOS",16.87,NA
"129","03E8",2021,3,31,"ESP","224046150","GINES Y ANA",11.66,NA
"130","03E8",2021,3,31,"ESP","224054950","PERETUJO",19.21,NA
"131","03E8",2021,3,31,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"132","03E8",2021,3,31,"ESP","224071980","EL VILLA",2.42,"VL1824"
"133","03E8",2021,3,31,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"134","03E8",2021,3,31,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"135","03E8",2021,3,31,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"136","03E8",2021,3,31,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"137","03E8",2021,3,31,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"138","03E8",2021,3,31,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"139","03E8",2021,3,31,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"140","03E8",2021,3,31,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"141","03E8",2021,3,31,"ESP","224151990","LORENZO Y FINA",1.83,NA
"142","03E8",2021,3,31,"ESP","224155590","LOS ALONSOS",4.58,NA
"143","03E8",2021,3,31,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"144","03E8",2021,3,31,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"145","03E8",2021,3,31,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"146","03E8",2021,3,31,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"147","03E8",2021,3,31,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"148","03E8",2021,3,31,"ESP","224217120","TOPACIO",0.79,"VL1824"
"149","03E8",2021,3,31,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"150","03E8",2021,3,31,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"151","03E8",2021,3,31,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"152","03E8",2021,3,31,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"153","03E8",2021,3,31,"ESP","224333460","EL CAENA",9.14,NA
"154","03E8",2021,3,31,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"155","03E8",2021,3,31,"ESP","225983852","ALVALUC II",5.83,NA
"156","03E8",2021,3,62,"ESP","224020390","SOTO DURAN",2.54,NA
"157","03E8",2021,3,62,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"158","03E8",2021,3,62,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"159","03E8",2021,3,62,"ESP","224026780","PESCALBA DOS",16.87,NA
"160","03E8",2021,3,62,"ESP","224046150","GINES Y ANA",11.66,NA
"161","03E8",2021,3,62,"ESP","224054950","PERETUJO",19.21,NA
"162","03E8",2021,3,62,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"163","03E8",2021,3,62,"ESP","224071980","EL VILLA",2.42,"VL1824"
"164","03E8",2021,3,62,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"165","03E8",2021,3,62,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"166","03E8",2021,3,62,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"167","03E8",2021,3,62,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
"168","03E8",2021,3,62,"ESP","224100160","LOS PICONES",6.74,"VL1824"
"169","03E8",2021,3,62,"ESP","224116790","MI GRAN ILUSION",14.11,NA
"170","03E8",2021,3,62,"ESP","224131820","EL GUINAMON",8.06,"VL1824"
"171","03E8",2021,3,62,"ESP","224138320","ALONSO Y MARIA",4.29,"VL1824"
"172","03E8",2021,3,62,"ESP","224151990","LORENZO Y FINA",1.83,NA
"173","03E8",2021,3,62,"ESP","224155590","LOS ALONSOS",4.58,NA
"174","03E8",2021,3,62,"ESP","224156570","VICTORIA Y PEDRO",2.44,NA
"175","03E8",2021,3,62,"ESP","224177460","PAREDES GARCIA DOS",4.12,"VL2440"
"176","03E8",2021,3,62,"ESP","224190270","ESTRELLA DE MIGUEL",2.32,NA
"177","03E8",2021,3,62,"ESP","224209630","NUEVO JUAN JESUS",0.2,NA
"178","03E8",2021,3,62,"ESP","224213920","PESCALBA CUATRO",4.77,"VL1824"
"179","03E8",2021,3,62,"ESP","224217120","TOPACIO",0.79,"VL1824"
"180","03E8",2021,3,62,"ESP","224219320","EL CABRERILLA",4.1,"VL1218"
"181","03E8",2021,3,62,"ESP","224219330","PEDRO Y AMALIA",3.77,"VL1218"
"182","03E8",2021,3,62,"ESP","224225750","HNOS FUENTES TRES",0.97,"VL1218"
"183","03E8",2021,3,62,"ESP","224225760","VIRGEN DEL CARMEN",14.54,"VL1218"
"184","03E8",2021,3,62,"ESP","224333460","EL CAENA",9.14,NA
"185","03E8",2021,3,62,"ESP","224396270","NUEVO SABOR DEL MAR",8.29,"VL1824"
"186","03E8",2021,3,62,"ESP","225983852","ALVALUC II",5.83,NA
"187","03E8",2021,3,2418,"ESP","224020390","SOTO DURAN",2.54,NA
"188","03E8",2021,3,2418,"ESP","224020840","PAREDES GARCIA",7.33,"VL1824"
"189","03E8",2021,3,2418,"ESP","224022730","ROSA MARIA JUAREZ",3.77,NA
"190","03E8",2021,3,2418,"ESP","224026780","PESCALBA DOS",16.87,NA
"191","03E8",2021,3,2418,"ESP","224046150","GINES Y ANA",11.66,NA
"192","03E8",2021,3,2418,"ESP","224054950","PERETUJO",19.21,NA
"193","03E8",2021,3,2418,"ESP","224057890","JUAN Y LUCIA",11.8,NA
"194","03E8",2021,3,2418,"ESP","224071980","EL VILLA",2.42,"VL1824"
"195","03E8",2021,3,2418,"ESP","224072680","PEPE LASAL UNO",1.67,"VL2440"
"196","03E8",2021,3,2418,"ESP","224082990","ALTHAIA",0.26,"VL1824"
"197","03E8",2021,3,2418,"ESP","224095170","PEREZ SEGURA",2.1,"VL1824"
"198","03E8",2021,3,2418,"ESP","224100120","PESCALBA UNO",7.27,"VL1824"
