"","id","year","gear","quarter","vlength","tot_fish_day"
"1","02E8","2021","PS","1","VL1218",58
"2","02E8","2021","PS","2","VL1218",102
"3","02E8","2021","PS","2","VL1824",6
"4","02E8","2021","PS","3","VL1218",140
"5","02E8","2021","PS","3","VL1824",30
"6","02E8","2021","PS","3","VL40XX",3.96
"7","02E8","2021","PS","4","VL1218",90
"8","02E8","2021","PS","4","VL1824",14
"9","03E8","2021","PS","1","VL1218",1922
"10","03E8","2021","PS","1","VL1824",372
"11","03E8","2021","PS","2","VL1218",1147
"12","03E8","2021","PS","2","VL1824",1953
"13","03E8","2021","PS","3","VL1218",2418
"14","03E8","2021","PS","3","VL1824",3751
"15","03E8","2021","PS","3","VL2440",62
"16","03E8","2021","PS","3","VL40XX",31
"17","03E8","2021","PS","4","VL1218",806
"18","03E8","2021","PS","4","VL1824",2170
"19","03E9","2021","PS","1","VL1824",576
"20","03E9","2021","PS","2","VL1824",576
"21","03E9","2021","PS","2","VL2440",1152
"22","03E9","2021","PS","3","VL1824",1152
"23","03E9","2021","PS","3","VL2440",576
"24","03E9","2021","PS","4","VL1824",1152
"25","03F1","2021","PS","2","VL2440",521
"26","04E8","2021","PS","1","VL0612",25
"27","04E8","2021","PS","1","VL1218",135
"28","04E8","2021","PS","1","VL1824",522.5
"29","04E8","2021","PS","2","VL0612",5
"30","04E8","2021","PS","2","VL1218",160
"31","04E8","2021","PS","2","VL1824",595
"32","04E8","2021","PS","2","VL2440",27.5
"33","04E8","2021","PS","3","VL0612",35
"34","04E8","2021","PS","3","VL1218",225
"35","04E8","2021","PS","3","VL1824",987.5
"36","04E8","2021","PS","3","VL2440",55
"37","04E8","2021","PS","4","VL0612",20
"38","04E8","2021","PS","4","VL1218",90
"39","04E8","2021","PS","4","VL1824",385
"40","04E8","2021","PS","4","VL2440",10
"41","04E9","2021","PS","1","VL0612",920
"42","04E9","2021","PS","1","VL1218",5428
"43","04E9","2021","PS","1","VL1824",13846
"44","04E9","2021","PS","1","VL2440",644
"45","04E9","2021","PS","2","VL0612",1380
"46","04E9","2021","PS","2","VL1218",8556
"47","04E9","2021","PS","2","VL1824",39744
"48","04E9","2021","PS","2","VL2440",3542
"49","04E9","2021","PS","3","VL0612",5336
"50","04E9","2021","PS","3","VL1218",6624
"51","04E9","2021","PS","3","VL1824",39376
"52","04E9","2021","PS","3","VL2440",7176
"53","04E9","2021","PS","4","VL0612",1748
"54","04E9","2021","PS","4","VL1218",6900
"55","04E9","2021","PS","4","VL1824",50646
"56","04E9","2021","PS","4","VL2440",5888
"57","04F0","2021","PS","1","VL1824",598
"58","04F0","2021","PS","2","VL1824",598
"59","04F0","2021","PS","2","VL2440",598
"60","04F0","2021","PS","3","VL1824",299
"61","04F0","2021","PS","3","VL2440",1196
"62","04F0","2021","PS","4","VL1824",897
"63","05E9","2021","PS","1","VL1218",110
"64","05E9","2021","PS","1","VL1824",304
"65","05E9","2021","PS","1","VL2440",47
"66","05E9","2021","PS","2","VL1218",13
"67","05E9","2021","PS","2","VL1824",35
