id;CFR;MONTH;Gear;VL;harbour;fishday;avg_depth;GVL_sum
85;boat_100;January;OTB;VL1824;SAN REMO;12;7792;5,02727E+14
85;boat_100;September;OTB;VL1824;SAN REMO;8;7792;3,61071E+13
85;boat_100;December;OTB;VL1824;SAN REMO;7;7792;1,38285E+14
85;boat_100;November;OTB;VL1824;SAN REMO;6;7792;4,19696E+14
85;boat_100;May;OTB;VL1824;SAN REMO;10;7792;2,12485E+14
85;boat_100;August;OTB;VL1824;SAN REMO;9;7792;0
85;boat_100;June;OTB;VL1824;SAN REMO;7;7792;7,08448E+14
85;boat_15;May;OTB;VL1824;SAN REMO;9;7792;4,7393E+14
85;boat_15;December;OTB;VL1824;SAN REMO;17;7792;3,33151E+14
85;boat_15;November;OTB;VL1824;SAN REMO;16;7792;3,773E+14
85;boat_15;September;OTB;VL1824;SAN REMO;16;7792;5,07816E+14
85;boat_15;August;OTB;VL1824;SAN REMO;8;7792;0
85;boat_15;June;OTB;VL1824;SAN REMO;11;7792;3,03591E+13
85;boat_16;January;OTB;VL1824;SAN REMO;14;7792;1,74374E+14
85;boat_16;November;OTB;VL1824;SAN REMO;13;7792;2,23878E+14
85;boat_16;December;OTB;VL1824;SAN REMO;12;7792;2,91735E+14
85;boat_16;February;OTB;VL1824;SAN REMO;11;7792;4,16351E+14
85;boat_16;March;OTB;VL1824;SAN REMO;10;7792;1,48777E+14
85;boat_16;April;OTB;VL1824;SAN REMO;10;7792;2,8947E+14
85;boat_16;August;OTB;VL1824;SAN REMO;12;7792;1,15116E+14
85;boat_16;September;OTB;VL1824;SAN REMO;12;7792;3,66258E+14
85;boat_16;May;OTB;VL1824;SAN REMO;13;7792;2,51857E+14
85;boat_16;June;OTB;VL1824;SAN REMO;15;7792;2,28026E+14
86;boat_100;January;OTB;VL1824;SAN REMO;12;3,67359E+14;4,23301E+14
86;boat_100;February;OTB;VL1824;SAN REMO;6;3,67359E+14;4,9445E+14
86;boat_100;December;OTB;VL1824;SAN REMO;7;3,67359E+14;2,39121E+14
86;boat_100;April;OTB;VL1824;SAN REMO;8;3,67359E+14;1,13094E+14
86;boat_100;May;OTB;VL1824;SAN REMO;10;3,67359E+14;5,84606E+13
86;boat_100;September;OTB;VL1824;SAN REMO;8;3,67359E+14;1,91048E+14
86;boat_100;August;OTB;VL1824;SAN REMO;9;3,67359E+14;4,22027E+14
86;boat_100;June;OTB;VL1824;SAN REMO;7;3,67359E+14;2,59609E+14
86;boat_100;July;OTB;VL1824;SAN REMO;8;3,67359E+14;2,28378E+14
86;boat_100;November;OTB;VL1824;SAN REMO;6;3,67359E+14;4,48753E+14
86;boat_100;October;OTB;VL1824;SAN REMO;2;3,67359E+14;4,67055E+14
86;boat_105;January;OTB;VL1218;SAN REMO;6;3,67359E+14;7,89627E+14
86;boat_105;December;OTB;VL1218;SAN REMO;8;3,67359E+14;9,01271E+14
86;boat_105;May;OTB;VL1218;SAN REMO;6;3,67359E+14;3,27534E+14
86;boat_105;April;OTB;VL1218;SAN REMO;6;3,67359E+14;4,70322E+14
86;boat_105;June;OTB;VL1218;SAN REMO;9;3,67359E+14;4,2538E+14
86;boat_105;July;OTB;VL1218;SAN REMO;7;3,67359E+14;1,87741E+14
86;boat_105;September;OTB;VL1218;SAN REMO;6;3,67359E+14;5,22961E+14
86;boat_15;January;OTB;VL1824;SAN REMO;16;3,67359E+14;7,48169E+14
86;boat_15;June;OTB;VL1824;SAN REMO;11;3,67359E+14;4,91272E+14
86;boat_15;December;OTB;VL1824;SAN REMO;17;3,67359E+14;1,6367E+14
86;boat_15;May;OTB;VL1824;SAN REMO;9;3,67359E+14;1,20451E+14
86;boat_15;September;OTB;VL1824;SAN REMO;16;3,67359E+14;1,50695E+14
86;boat_15;August;OTB;VL1824;SAN REMO;8;3,67359E+14;1,31109E+14
86;boat_15;July;OTB;VL1824;SAN REMO;10;3,67359E+14;3,24671E+14
86;boat_15;April;OTB;VL1824;SAN REMO;11;3,67359E+14;2,17903E+13
86;boat_15;November;OTB;VL1824;SAN REMO;16;3,67359E+14;4,82833E+14
86;boat_15;October;OTB;VL1824;SAN REMO;2;3,67359E+14;1,66789E+14
86;boat_153;December;OTB;VL1218;SAN REMO;8;3,67359E+14;8,86039E+13
86;boat_153;September;OTB;VL1218;SAN REMO;10;3,67359E+14;8,67172E+14
86;boat_153;May;OTB;VL1218;SAN REMO;7;3,67359E+14;1,09688E+14
86;boat_153;April;OTB;VL1218;SAN REMO;5;3,67359E+14;5,71117E+13
86;boat_153;June;OTB;VL1218;SAN REMO;6;3,67359E+14;6,28738E+13
86;boat_153;July;OTB;VL1218;SAN REMO;8;3,67359E+14;6,98465E+14
86;boat_16;January;OTB;VL1824;SAN REMO;14;3,67359E+14;4,82447E+14
86;boat_16;February;OTB;VL1824;SAN REMO;11;3,67359E+14;2,65372E+13
86;boat_16;June;OTB;VL1824;SAN REMO;15;3,67359E+14;3,07496E+13
86;boat_16;November;OTB;VL1824;SAN REMO;13;3,67359E+14;1,22976E+14
86;boat_16;December;OTB;VL1824;SAN REMO;12;3,67359E+14;9,08313E+14
86;boat_16;April;OTB;VL1824;SAN REMO;10;3,67359E+14;8,20108E+14
86;boat_16;May;OTB;VL1824;SAN REMO;13;3,67359E+14;4,54312E+14
86;boat_16;September;OTB;VL1824;SAN REMO;12;3,67359E+14;8,20486E+14
86;boat_16;August;OTB;VL1824;SAN REMO;12;3,67359E+14;1,10319E+14
86;boat_16;July;OTB;VL1824;SAN REMO;12;3,67359E+14;1,99088E+14
86;boat_16;October;OTB;VL1824;SAN REMO;1;3,67359E+14;1,54184E+14
87;boat_100;January;OTB;VL1824;SAN REMO;12;580;6,32777E+14
87;boat_15;January;OTB;VL1824;SAN REMO;16;580;9,0388E+14
87;boat_16;January;OTB;VL1824;SAN REMO;14;580;4,17785E+14
155;boat_100;May;OTB;VL1824;SAN REMO;10;1898;3,20687E+14
155;boat_100;June;OTB;VL1824;SAN REMO;7;1898;1,45603E+13
155;boat_100;July;OTB;VL1824;SAN REMO;8;1898;6,33364E+14
155;boat_100;April;OTB;VL1824;SAN REMO;8;1898;8,63244E+14
155;boat_15;May;OTB;VL1824;SAN REMO;9;1898;3,74793E+14
155;boat_15;June;OTB;VL1824;SAN REMO;11;1898;3,63972E+14
155;boat_15;July;OTB;VL1824;SAN REMO;10;1898;3,7327E+14
155;boat_16;May;OTB;VL1824;SAN REMO;13;1898;6,64064E+14
155;boat_16;June;OTB;VL1824;SAN REMO;15;1898;3,60498E+14
155;boat_16;July;OTB;VL1824;SAN REMO;12;1898;1,90818E+14
155;boat_16;April;OTB;VL1824;SAN REMO;10;1898;5,49593E+14
156;boat_100;June;OTB;VL1824;SAN REMO;7;4,27163E+14;2,73956E+14
156;boat_100;July;OTB;VL1824;SAN REMO;8;4,27163E+14;7,24275E+14
156;boat_100;January;OTB;VL1824;SAN REMO;12;4,27163E+14;2,32535E+14
156;boat_100;April;OTB;VL1824;SAN REMO;8;4,27163E+14;1,91336E+14
156;boat_100;May;OTB;VL1824;SAN REMO;10;4,27163E+14;5,11085E+14
156;boat_100;August;OTB;VL1824;SAN REMO;9;4,27163E+14;2,58425E+14
156;boat_100;September;OTB;VL1824;SAN REMO;8;4,27163E+14;6,01918E+14
156;boat_100;December;OTB;VL1824;SAN REMO;7;4,27163E+14;7,92466E+14
156;boat_100;October;OTB;VL1824;SAN REMO;2;4,27163E+14;5,3711E+14
156;boat_100;November;OTB;VL1824;SAN REMO;6;4,27163E+14;6,84063E+14
156;boat_105;May;OTB;VL1218;SAN REMO;6;4,27163E+14;1,11179E+14
156;boat_105;September;OTB;VL1218;SAN REMO;6;4,27163E+14;2,70321E+14
156;boat_105;December;OTB;VL1218;SAN REMO;8;4,27163E+14;2,22483E+14
156;boat_105;April;OTB;VL1218;SAN REMO;6;4,27163E+14;8,21009E+14
156;boat_105;June;OTB;VL1218;SAN REMO;9;4,27163E+14;2,23597E+14
156;boat_15;June;OTB;VL1824;SAN REMO;11;4,27163E+14;4,63082E+14
156;boat_15;July;OTB;VL1824;SAN REMO;10;4,27163E+14;8,1987E+14
156;boat_15;January;OTB;VL1824;SAN REMO;16;4,27163E+14;1,27913E+14
156;boat_15;April;OTB;VL1824;SAN REMO;11;4,27163E+14;2,30108E+14
156;boat_15;May;OTB;VL1824;SAN REMO;9;4,27163E+14;2,90446E+14
156;boat_15;August;OTB;VL1824;SAN REMO;8;4,27163E+14;3,46657E+14
156;boat_15;September;OTB;VL1824;SAN REMO;16;4,27163E+14;1,11598E+14
156;boat_15;December;OTB;VL1824;SAN REMO;17;4,27163E+14;2,03757E+14
156;boat_15;October;OTB;VL1824;SAN REMO;2;4,27163E+14;5,75419E+13
156;boat_15;November;OTB;VL1824;SAN REMO;16;4,27163E+14;2,19856E+14
156;boat_153;May;OTB;VL1218;SAN REMO;7;4,27163E+14;2,68635E+14
156;boat_153;September;OTB;VL1218;SAN REMO;10;4,27163E+14;1,92879E+14
156;boat_153;December;OTB;VL1218;SAN REMO;8;4,27163E+14;1,03807E+14
156;boat_153;April;OTB;VL1218;SAN REMO;5;4,27163E+14;7,79578E+14
156;boat_153;June;OTB;VL1218;SAN REMO;6;4,27163E+14;5,40262E+14
156;boat_16;June;OTB;VL1824;SAN REMO;15;4,27163E+14;3,35047E+13
156;boat_16;July;OTB;VL1824;SAN REMO;12;4,27163E+14;6,79902E+14
156;boat_16;January;OTB;VL1824;SAN REMO;14;4,27163E+14;1,20312E+14
156;boat_16;April;OTB;VL1824;SAN REMO;10;4,27163E+14;1,38886E+14
156;boat_16;May;OTB;VL1824;SAN REMO;13;4,27163E+14;5,59666E+14
156;boat_16;August;OTB;VL1824;SAN REMO;12;4,27163E+14;2,02851E+14
156;boat_16;September;OTB;VL1824;SAN REMO;12;4,27163E+14;3,80047E+13
156;boat_16;December;OTB;VL1824;SAN REMO;12;4,27163E+14;1,8051E+14
156;boat_16;October;OTB;VL1824;SAN REMO;1;4,27163E+14;5,31933E+14
156;boat_16;November;OTB;VL1824;SAN REMO;13;4,27163E+14;2,98087E+14
156;boat_17;September;OTB;VL1218;SAN REMO;7;4,27163E+14;6,33135E+14
157;boat_100;June;OTB;VL1824;SAN REMO;7;661;1,58081E+14
157;boat_100;July;OTB;VL1824;SAN REMO;8;661;6,40136E+14
157;boat_100;August;OTB;VL1824;SAN REMO;9;661;1,43442E+14
157;boat_100;April;OTB;VL1824;SAN REMO;8;661;4,70281E+14
157;boat_105;May;OTB;VL1218;SAN REMO;6;661;1,17877E+14
157;boat_105;June;OTB;VL1218;SAN REMO;9;661;1,63618E+14
157;boat_105;October;OTB;VL1218;SAN REMO;2;661;8,1188E+14
157;boat_15;June;OTB;VL1824;SAN REMO;11;661;2,25808E+14
157;boat_15;July;OTB;VL1824;SAN REMO;10;661;8,52158E+13
157;boat_15;August;OTB;VL1824;SAN REMO;8;661;8,64409E+14
157;boat_15;April;OTB;VL1824;SAN REMO;11;661;7,55737E+14
157;boat_153;May;OTB;VL1218;SAN REMO;7;661;9,11418E+14
157;boat_153;June;OTB;VL1218;SAN REMO;6;661;1,31712E+13
157;boat_16;June;OTB;VL1824;SAN REMO;15;661;1,66994E+14
157;boat_16;July;OTB;VL1824;SAN REMO;12;661;7,64553E+14
157;boat_16;August;OTB;VL1824;SAN REMO;12;661;1,06544E+14
157;boat_16;April;OTB;VL1824;SAN REMO;10;661;9,31497E+14
225;boat_100;January;OTB;VL1824;SAN REMO;12;7025;1,71754E+13
225;boat_105;May;OTB;VL1218;SAN REMO;6;7025;7,43161E+14
225;boat_105;January;OTB;VL1218;SAN REMO;6;7025;1,63179E+14
225;boat_16;September;OTB;VL1824;SAN REMO;12;7025;2,49991E+14
226;boat_105;May;OTB;VL1218;SAN REMO;6;4,50167E+14;6,15008E+14
226;boat_105;January;OTB;VL1218;SAN REMO;6;4,50167E+14;4,39628E+13
226;boat_105;March;OTB;VL1218;SAN REMO;4;4,50167E+14;1,34558E+14
226;boat_105;June;OTB;VL1218;SAN REMO;9;4,50167E+14;6,53156E+14
226;boat_153;June;OTB;VL1218;SAN REMO;6;4,50167E+14;1,10472E+14
226;boat_17;March;OTB;VL1218;SAN REMO;7;4,50167E+14;4,84289E+14
294;boat_16;June;OTB;VL1824;SAN REMO;15;41;1,32308E+13
295;boat_100;September;OTB;VL1824;SAN REMO;8;1,80813E+13;4,67982E+14
295;boat_100;December;OTB;VL1824;SAN REMO;7;1,80813E+13;6,4731E+14
295;boat_105;March;OTB;VL1218;SAN REMO;4;1,80813E+13;4,68075E+14
295;boat_105;December;OTB;VL1218;SAN REMO;8;1,80813E+13;2,72619E+14
295;boat_105;February;OTB;VL1218;SAN REMO;7;1,80813E+13;8,86486E+14
295;boat_105;July;OTB;VL1218;SAN REMO;7;1,80813E+13;7,12364E+14
295;boat_105;November;OTB;VL1218;SAN REMO;5;1,80813E+13;4,30574E+14
295;boat_105;September;OTB;VL1218;SAN REMO;6;1,80813E+13;2,8432E+13
295;boat_105;January;OTB;VL1218;SAN REMO;6;1,80813E+13;1,51006E+14
